Call_Number,SiteCode,Latitude,Longitude,Date,Year,Cape,Zone,Transect,Quadrat,Exposure (if noted),RelativeRugosity,SubstrateType,TotalAdultUrchins,PittedUrchins,CreviceUrchins,OpenUrchins,JuvenileUrchins,PittedJuveniles,RecruitUrchins,RedUrchins,EmptyPits,PitsPresent,UrchinSize1,UrchinSize2,UrchinSize3,UrchinSize4,UrchinSize5,Attached red drift ,Attached brown drift ,Attached green drift ,Attached phyllospadix drift,Attached other drift,TotalAttachedDrift,UrchinCover,AlgaeHoldfasts,UnderstoryAlgae,EmphermalGreens ,PhyllospadixRhizomes,CorallineCrusts,RedBrownCrusts,SessileInverts,SandCobble,BareRock,AvailableBareRock,TotalPrimaryCover,Egregia,Hedophyllum,Mastocarpus,Laminaria,Alaria,Mazzaella,Costaria,Phyllospadix,Nereocystis,Pyropia,Lessoniopsis,Fucus,Stephanocystis,Desmerestia ,Red Blade 2,Erhythophyllum (red blade 1),Chondracanthus (turkish towel),Prionitis,Constaninea,Unknown or Other,Diatom,Total Canopy
SC_2024_AZ_1_1,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,1,1,,,FB,0,0,0,0,0,,NA,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,63,19,1,4,1,0,12,0,NA,100,0,0,0,0,0,11,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,13
SC_2024_AZ_1_2,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,1,2,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,57,10,0,4,2,0,16,3,NA,100,96,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,96
SC_2024_AZ_1_3,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,1,3,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,3,11,0,0,0,71,0,NA,100,0,0,5,0,0,3,0,72,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,80
SC_2024_AZ_1_4,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,1,4,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11,24,2,0,0,51,0,NA,100,0,0,0,0,0,10,0,41,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,51
SC_2024_AZ_1_5,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,1,5,,,VB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,71,15,0,1,8,0,2,1,NA,100,0,0,39,0,0,18,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,57
SC_2024_AZ_2_1,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,2,1,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,78,0,0,10,2,3,0,7,NA,100,0,0,44,0,0,25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,69
SC_2024_AZ_2_2,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,2,2,,,VB,2,2,0,0,0,0,NA,0,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,87,0,0,9,3,1,0,0,NA,100,0,0,12,0,0,15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,27
SC_2024_AZ_2_3,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,2,3,,,VB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49,0,0,8,3,0,0,40,NA,100,0,0,1,0,0,36,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,37
SC_2024_AZ_2_4,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,2,4,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,0,0,2,2,0.1,0,6,NA,100,0,0,0.1,0,0,36,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,36.1
SC_2024_AZ_2_5,SC,43.3032,-124.3974,6/24/24,2024,CA,AZ,2,5,,,FB,0,0,0,0,0,0,NA,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,84,0,0,8,2,0,0,2,NA,100,0,0,6,0,0,80,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,86
SC_2024_UPZ_1_1,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,1,1,,,VB,61,58,0,3,5,1,NA,0,15,72,2.8,3.7,3,4,3.2,1,0,0,1,0,2,NA,0,9,2,0,21,0,1,8,59,NA,100,0,0,0,0,0,0.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0.1
SC_2024_UPZ_1_2,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,1,2,,,FB,18,18,0,0,2,0,NA,0,11,29,3,4.5,4,3.3,3.9,1,0,0,1,0,2,NA,0,8,0.1,0,10,0,1,81,0,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_UPZ_1_3,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,1,3,,,FB,33,33,0,0,12,1,NA,0,21,54,4,4.4,2.9,3.3,4,2,1,0,3,0,6,NA,0,0,0,0,17,0,0,13,70,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_UPZ_1_4,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,1,4,,,FB,35,35,0,0,1,0,NA,0,1,36,4.8,3.3,3.8,4.1,3.2,2,0,0,3,0,5,NA,0,7,4,0,4,0,2,13,70,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_UPZ_1_5,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,1,5,,,VB,7,7,0,0,0,0,NA,0,13,20,3.2,3.7,4.4,4.8,4.1,1,0,1,1,0,3,NA,0,20,12,0,6,2,0,14,46,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_UPZ_2_1,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,2,1,,,VB,20,8,7,5,0,0,NA,0,5,13,3.6,4.2,3.4,4.5,4.3, , , , , ,0,NA,5,25,0,0,13,11,3,0,43,NA,100,0,7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,7
SC_2024_UPZ_2_2,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,2,2,,,FB,14,1,9,4,0,,NA,0,1,2,5,4.6,3.4,3.7,3.4,1,0,1,0,0,2,NA,1,50,0,0,1,0,0,0,48,NA,100,0,0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,6
SC_2024_UPZ_2_3,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,2,3,,,FB,50,49,0,1,5,0,NA,0,2,52,4.2,3.8,5.3,3.7,4.1,1,0,0,3,0,4,NA,0.1,14,0.1,0,12,0,1,0,73,NA,100,0,0,4,0,2,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,10
SC_2024_UPZ_2_4,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,2,4,,,FB,16,16,0,0,0,0,NA,0,2,18,4.6,4.9,4.1,4.1,5,0,1,0,0,0,1,NA,0,44,2,0,12,2,1,0,39,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_UPZ_2_5,SC,43.3032,-124.3974,6/24/24,2024,CA,UPZ,2,5,,,FB,21,21,0,0,2,0,NA,0,2,23,4.2,3.9,3.8,5,4.6,0,0,1,0,0,1,NA,0,35,0,0,11,0,0,3,51,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_NPZ_1_1,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,1,1,,,VB,21,0,21,0,2,0,NA,0,0,0,7.1,5.1,4.9,4.7,5.3,1,0,0,1,0,2,NA,0,2,0,0,26,9,1,0,62,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,1
SC_2024_NPZ_1_2,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,1,2,,,VB,15,14,1,0,0,0,NA,0,1,15,3.8,3.8,4.9,4,4.1,0,0,0,1,0,1,NA,0,68,0,8,10,6,0,0,8,NA,100,0,0,0,0,0,5,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,15
SC_2024_NPZ_1_3,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,1,3,,,VB,56,16,2,38,5,1,NA,0,1,17,4.1,6.2,4.6,5.1,5.3,1,0,0,5,0,6,NA,0,0,0,0,20,1,1,4,74,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_NPZ_1_4,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,1,4,,,VB,30,11,4,15,0,0,NA,0,2,13,6,5.2,4.7,4.6,5.7,1,0,0,5,0,6,NA,0,0,0,0,15,6,1,5,73,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_NPZ_1_5,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,1,5,,,VB,17,8,7,2,0,0,NA,0,4,12,6.4,5.5,5.9,4.7,5.5,1,0,1,2,0,4,NA,0,0,0,0,20,0.1,1,10,69,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_NPZ_2_1,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,2,1,,,VB,27,0,1,26,2,0,NA,0,0,0,6.7,6.8,6.2,6.2,5.1,1,0,0,2,0,3,NA,0,0,0,0,17,9,1,0.1,73,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_NPZ_2_2,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,2,2,,,VB,39,3,13,23,1,0,NA,0,4,7,6.3,5.4,5.6,4.6,5.8,0,0,0,2,0,2,NA,0,0,0,0,15,8,0,7,70,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_NPZ_2_3,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,2,3,,,VB,33,12,0,21,1,0,NA,0,0,12,4.2,3.9,4.4,4,5.1, , , , , ,0,NA,0,0,0,0,11,8,0,1,80,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_NPZ_2_4,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,2,4,,,VB,43,8,3,32,0,0,NA,0,3,11,4.7,4.9,3.9,4.7,4,2,1,0,1,0,4,NA,0,0,0,0,23,4,0,10,63,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
SC_2024_NPZ_2_5,SC,43.3032,-124.3974,6/24/24,2024,CA,NPZ,2,5,,,VB,25,0,6,19,0,0,NA,0,0,0,4.8,3.2,4.5,5.3,5,1,0,0,1,0,2,NA,0,0,0,0,72,3,0,15,10,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
CB_2024_AZ_1_1,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,1,1,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,82,10,0,0,3,1,2,2,NA,100,0,4,40,0,0,15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,59
CB_2024_AZ_1_2,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,1,2,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,88,4,0,1,3,0.1,0.1,0,NA,100,37,2,14,0,0,42,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,95
CB_2024_AZ_1_3,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,1,3,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65,0.1,0,0,0,0.1,35,0,NA,100,21,0,0,0,0,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,31
CB_2024_AZ_1_4,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,1,4,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,83,0.1,0,5,2,0,8,0,NA,100,18,20,0,0,0,25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,63
CB_2024_AZ_1_5,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,1,5,,,FB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,96,0,0,1,0.1,0,2,1,NA,100,0,0,0,0,0,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,100
CB_2024_AZ_2_1,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,2,1,,,VD,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,68,0.1,0,7,14,0.1,2,3,NA,100,16,45,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,69
CB_2024_AZ_2_2,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,2,2,,,VD,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,84,0,0,5,2,1,8,0,NA,100,1,26,0,0,0,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,34
CB_2024_AZ_2_3,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,2,3,,,VD,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,83,0,0,1,3,0.1,10,1,NA,100,0,1,0,0,0,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,13
CB_2024_AZ_2_4,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,2,4,,,VD,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,84,0,0,0.1,3,2,1,8,NA,100,0,0,4,0,0,48,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,52
CB_2024_AZ_2_5,CB,42.83969,-124.5651,6/25/24,2024,CB,AZ,2,5,,,VD,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,0,0,3,1,0,4,2,NA,100,6,0,10,0,0,40,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,56
CB_2024_NPZ_1_1,CB,42.83969,-124.5651,6/25/24,2024,CB,NPZ,1,1,,,CB,4,0,1,3,0,0,NA,0,0,0,,,,,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0.1,0,8,0,2,18,62,NA,100,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,4
CB_2024_NPZ_1_2,CB,42.83969,-124.5651,6/25/24,2024,CB,NPZ,1,2,,,CD,14,1,3,10,1,0,NA,0,0,1,6.7,5.2,6.3,6.9,6.2,0,0,0,0,0,0,NA,0,1,0,0,12,9,2,10,66,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
CB_2024_NPZ_1_3,CB,42.83969,-124.5651,6/25/24,2024,CB,NPZ,1,3,,,CB,3,0,3,0,0,0,NA,0,1,1,6.6,5.8,5.2,5.4,5.4,0,1,0,0,0,1,NA,0,4,1,0,13,9,4,3,66,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
CB_2024_NPZ_1_4,CB,42.83969,-124.5651,6/25/24,2024,CB,NPZ,1,4,,,CB,7,0,7,0,0,0,NA,0,0,0,7.7,8.3,5.3,5.9,6.2,0,1,0,0,0,1,NA,0,16,0,0,16,5,2,45,16,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
CB_2024_NPZ_1_5,CB,42.83969,-124.5651,6/25/24,2024,CB,NPZ,1,5,,,CB,20,0,20,0,0,0,NA,0,0,0,5.5,5.3,5.8,3.7,3.9,0,0,0,0,0,0,NA,0,0,0.1,0,4,5,0,10,81,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
CB_2024_NPZ_2_1,CB,42.83969,-124.5651,7/24/24,2024,CB,NPZ,2,1,,,VB,13,3,6,4,0,0,NA,0,4,7,8,3,8.1,7.6,,0,0,0,0,0,0,NA,0,1,0,0,10,9,1,3,76,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,69,69
CB_2024_NPZ_2_2,CB,42.83969,-124.5651,7/24/24,2024,CB,NPZ,2,2,,,FD,5,0,0,5,0,0,NA,0,0,0,8.8,7.2,6,8,7.8,0,0,0,0,0,0,NA,0,0,0,0,9,3,2,0,86,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,85,85
CB_2024_NPZ_2_3,CB,42.83969,-124.5651,7/24/24,2024,CB,NPZ,2,3,,,VD,4,1,2,1,0,0,NA,0,0,1,7.9,6.6,7.5,,,0,0,0,0,0,0,NA,2,0,0,0,21,14,2,0,61,NA,100,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,63,67
CB_2024_NPZ_2_4,CB,42.83969,-124.5651,7/24/24,2024,CB,NPZ,2,4,,,CB,12,0,3,9,1,0,NA,0,0,0,10,7.6,9,7.3,8.1,0,0,0,0,0,0,NA,2,0,0,0,6,3,0.1,7,82,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,79,79
CB_2024_NPZ_2_5,CB,42.83969,-124.5651,7/24/24,2024,CB,NPZ,2,5,,,VB,12,3,4,5,9,3,NA,0,7,10,7,6.6,3.1,7,,0,0,0,0,1,1,NA,3,1,0.1,0,11,7,4,5,69,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,64,64
CB_2024_UPZ_1_1,CB,42.83969,-124.5651,6/25/24,2024,CB,UPZ,1,1,,,VB,17,9,2,6,3,3,NA,0,11,20,3.3,2.5,3.8,2.9,2.4,0,1,0,0,0,1,NA,0,1,0,0,10,9,1,4,75,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
CB_2024_UPZ_1_2,CB,42.83969,-124.5651,6/25/24,2024,CB,UPZ,1,2,,,CC,20,8,7,5,1,1,NA,0,2,10,2.4,3.7,3.4,4,4.4,0,0,0,0,0,0,NA,0,16,0,0,14,3,8,57,2,NA,100,0,0,0,0,0,9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,9
CB_2024_UPZ_1_3,CB,42.83969,-124.5651,6/25/24,2024,CB,UPZ,1,3,,,VD,6,1,5,0,1,0,NA,0,0,1,,,,,,NA,NA,NA,NA,NA,NA,NA,2,12,0,0,6,8,4,0.1,68,NA,100,0,24,0,0,0,42,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,66
CB_2024_UPZ_1_4,CB,42.83969,-124.5651,6/25/24,2024,CB,UPZ,1,4,,,FD,11,7,4,0,0,0,NA,0,8,17,,,,,,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0,8,17,5,3,67,NA,100,0,0,0,0,0,0.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0.1
CB_2024_UPZ_1_5,CB,42.83969,-124.5651,6/25/24,2024,CB,UPZ,1,5,,,VD,12,7,1,4,4,1,NA,0,4,11,5.5,3.7,4.9,3.4,3.7,0,2,0,0,0,2,NA,0,7,0,0,10,8,4,8,63,NA,100,0,0,0,0,0,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,7
CB_2024_UPZ_2_1,CB,42.83969,-124.5651,7/24/24,2024,CB,UPZ,2,1,,,VD,30,30,0,0,11,11,NA,0,9,39,5.7,4.7,4.5,4,4.4,0,3,0,0,0,3,NA,5,25,0,0,47,6,1,0,16,NA,100,0,0,0,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0.1
CB_2024_UPZ_2_2,CB,42.83969,-124.5651,7/24/24,2024,CB,UPZ,2,2,,,VD,36,35,1,0,8,7,NA,0,5,41,4.7,4.5,4.6,3.6,3.6,0,0,1,0,0,1,NA,0,36,0,0,42,7,2,0,13,NA,100,0,0,0,0,0,5,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,0,NA,0,8
CB_2024_UPZ_2_3,CB,42.83969,-124.5651,7/24/24,2024,CB,UPZ,2,3,,,VD,12,9,3,0,2,0,NA,0,4,13,4,3,4.5,6,,0,0,0,1,0,1,NA,0,16,0,25,11,3,1,0,44,NA,100,0,0.1,0,0,0,0,0,37,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,37.1
CB_2024_UPZ_2_4,CB,42.83969,-124.5651,7/24/24,2024,CB,UPZ,2,4,,,VD,15,15,0,0,6,5,NA,0,4,19,3.5,4.2,2.3,3.9,,0,2,0,0,0,2,NA,1,12,0,0,29,8,1,0,49,NA,100,0,8,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,10
CB_2024_UPZ_2_5,CB,42.83969,-124.5651,7/24/24,2024,CB,UPZ,2,5,,,VD,49,47,1,1,7,0,NA,0,0,47,7,6,5.8,5,,1,2,0,0,0,3,NA,2,0.1,0,0,12,5,0,1,80,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
RP_2024_AZ_1_1,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,1,1,,,VB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,78,8,0,0.1,1,1,8,4,NA,100,0,0,4,0,0,8,0,0,0,10,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,24
RP_2024_AZ_1_2,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,1,2,,,VB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,19,0,0,0,0,20,9,NA,100,0,0,0,0,0,0,0,0,0,17,0,41,NA,NA,NA,NA,NA,NA,0,NA,0,58
RP_2024_AZ_1_3,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,1,3,,,VB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55,17,0,1,6,0,12,9,NA,100,0,0,0,0,0,0,0,0,0,36,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,36
RP_2024_AZ_1_4,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,1,4,,,VB,6,0,6,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,0.1,0,10,10,5,0.1,61,NA,100,0,37,0,0,0,0,0,0,0,4,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,41
RP_2024_AZ_1_5,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,1,5,,,VB,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,74,8,0,1,1,8,0,2,NA,100,0,4,0,0,14,42,0,0,0,5,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,65
RP_2024_AZ_2_1,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,2,1,,,VD,4,0,4,0,0,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,2,0,9,13,5,0.1,53,NA,100,0,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,10
RP_2024_AZ_2_2,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,2,2,,,VD,11,0,9,2,2,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,36,0,0,13,4,9,4,31,NA,100,0,21,0,0,10,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,36
RP_2024_AZ_2_3,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,2,3,,,VD,3,0,3,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,80,2,0.1,1,4,0.1,0.1,13,NA,100,0,2,0,0,0,5,0,0,0,13,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,20
RP_2024_AZ_2_4,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,2,4,,,VD,2,0,2,0,2,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,75,5,0,3,0,4,11,2,NA,100,0,0,0,0,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,5
RP_2024_AZ_2_5,RP,42.71666,-124.467,6/26/24,2024,CB,AZ,2,5,,,VD,2,0,2,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,3,0,9,5,0,0.1,67,NA,100,0,80,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,81
RP_2024_NPZ_1_1,RP,42.71666,-124.467,6/26/24,2024,CB,NPZ,1,1,,,FD,30,0,0,30,1,0,NA,0,0,0,2.2,6.9,5.5,6.8,6.5,0,0,0,1,0,1,NA,0,0,0,0,10,5,2,10,73,NA,100,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,2
RP_2024_NPZ_1_2,RP,42.71666,-124.467,6/26/24,2024,CB,NPZ,1,2,,,VD,33,0,12,21,11,0,NA,0,1,1,3.6,3.9,4.1,4.1,4.2,0,1,1,2,1,5,NA,0,7,2,0,6,6,9,15,55,NA,100,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,3
RP_2024_NPZ_1_3,RP,42.71666,-124.467,6/26/24,2024,CB,NPZ,1,3,,,VD,18,0,4,14,1,0,NA,0,6,6,4.3,1.8,4.2,3.8,2.5,0,1,0,1,0,2,NA,0,9,3,0,6,0,4,7,71,NA,100,0,0,0,0,0,2,0,0,0,4,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,6
